isocode,date,totalvaccinations,peoplevaccinated,peoplefullyvaccinated,totalboosters,dailyvaccinationsraw,dailyvaccinations,totalvaccinationsperhundred,peoplevaccinatedperhundred,peoplefullyvaccinatedperhundred,totalboostersperhundred,dailyvaccinationspermillion,dailypeoplevaccinated,dailypeoplevaccinatedperhundred
abw,2021,132301.77464788733,71633.08450704225,60668.69014084507,555673.6153846154,598.1299435028249,511.43682310469313,124.27492957746479,67.28727699530516,56.987793427230045,16.012478386167146,4804.068592057762,261.5667870036101,0.24567148014440435
abw,2022,171097.75806451612,88736.3870967742,82361.37096774194,555673.6153846154,41.97894736842105,28.90684931506849,160.71709677419355,83.35278225806452,77.36431451612903,16.012478386167146,271.50958904109586,15.046575342465754,0.014197260273972603
abw,2023,174608.63125,90382.40816326531,84222.20408163265,555673.6153846154,5.427083333333333,2.043835616438356,164.0148125,84.89897959183673,79.11190476190477,16.012478386167146,19.161643835616438,0.947945205479452,9.479452054794521e-4
abw,2024,174907.5,90541.6,84366.125,555673.6153846154,2.25,0.19718309859154928,164.296,85.048,79.25,16.012478386167146,1.7746478873239437,0.09859154929577464,9.859154929577466e-5
afg,2021,1007762.8965517242,744945,512712.5789473684,555673.6153846154,3437,15055.14423076923,2.4499999999999997,1.8111538461538461,1.246842105263158,16.012478386167146,366.0416666666667,13347.852564102564,0.03257692307692308
afg,2022,8103444.224137931,7375949.929824562,6697539.01754386,555673.6153846154,13617,21335.205479452055,19.70241379310345,17.933508771929823,16.2840350877193,16.012478386167146,518.7178082191781,20078.42191780822,0.04881369863013699
afg,2023,18482608.4375,15905183,15169833.734375,1691548.7241379311,3316,28639.92876712329,44.93875,38.67109375,36.88390625,4.113448275862069,696.3780821917808,20932.84931506849,0.050906849315068496
ago,2021,3605108.56,2357772.9583333335,1359178.35,555673.6153846154,10435,37651.419672131145,10.1296,6.624583333333334,3.819,16.012478386167146,1057.950819672131,24951.967213114753,0.07008196721311476
ago,2022,19134789.972972974,12199906.083333334,6522353.25,806280,10435,33855.767123287675,53.765945945945944,34.280833333333334,18.328333333333333,2.2666666666666666,951.2657534246575,20399.96712328767,0.05733424657534247
ago,2023,25622178.14285714,15784290.42857143,8886091.61904762,2147035.285714286,10435,10887.271232876712,71.99619047619048,44.35142857142857,24.96952380952381,6.033333333333333,305.8712328767123,4095.786301369863,0.01158082191780822
aia,2021,14008.558823529413,7983.323529411765,7541.681818181818,769.3333333333334,1421,64.01212121212122,88.23294117647059,50.28235294117647,47.50181818181818,4.85,4031.809090909091,31.996969696969696,0.2014878787878788
aia,2022,23038.1,10573.233333333334,9862.3,2545.681818181818,10435,10.32054794520548,145.10366666666667,66.59433333333334,62.11666666666667,16.033181818181816,650.172602739726,1.9561643835616438,0.0124
aia,2023,24529,10853.6,10378.8,3202.75,10435,1.6956521739130435,154.496,68.36,65.372,20.17,106.82608695652173,0,0
alb,2021,1060491.462555066,712218.4367816092,607401,68146.31034482758,8353.751515151514,6525.230985915493,37.311057268722465,25.057701149425288,21.37018292682927,2.3979310344827587,2295.7323943661972,3216.087323943662,0.11312676056338028
alb,2022,2767679.9574468085,1283090.8085106383,1205152.2765957448,274113.3541666667,5617.428571428572,1972.0109589041097,97.37425531914894,45.14148936170213,42.40085106382979,9.645208333333333,693.8164383561644,552.9643835616438,0.019463013698630138
alb,2023,3068972,1347003.375,1276316,394466.625,10435,208.83794466403162,107.975,47.3925,44.905,13.87875,73.41501976284584,23.375494071146246,7.075098814229249e-4
