"","isocode","income","gdp_per_capita_usd","unemployment_rate","inflation_rate","health_expenditure_pct_gdp","health_expenditure_per_capita","population","gdp_total_usd","date","totalvaccinations","peoplevaccinated","peoplefullyvaccinated","totalboosters","dailyvaccinationsraw","dailyvaccinations","totalvaccinationsperhundred","peoplevaccinatedperhundred","peoplefullyvaccinatedperhundred","totalboostersperhundred","dailyvaccinationspermillion","dailypeoplevaccinated","dailypeoplevaccinatedperhundred"
"1","afg","Low income",356.496214115892,11.994,5.13320340824963,7.12727031337192,81.52112579,40000412,14259995441.0759,2021,1007762.89655172,744945,512712.578947368,555673.615384615,3437,15055.1442307692,2.45,1.81115384615385,1.24684210526316,16.0124783861671,366.041666666667,13347.8525641026,0.0325769230769231
"2","afg","Low income",357.261152798144,14.1,13.7121023720065,7.12727031337192,80.6516037,40578842,14497243872.1337,2022,8103444.22413793,7375949.92982456,6697539.01754386,555673.615384615,13617,21335.2054794521,19.7024137931034,17.9335087719298,16.2840350877193,16.0124783861671,518.717808219178,20078.4219178082,0.048813698630137
"3","afg","Low income",415.707417059086,13.991,-4.64470870797775,7.12727031337192,80.6516037,41454761,17233051620.1117,2023,18482608.4375,15905183,15169833.734375,1691548.72413793,3316,28639.9287671233,44.93875,38.67109375,36.88390625,4.11344827586207,696.378082191781,20932.8493150685,0.0509068493150685
"4","alb","Upper middle income",6413.28328605026,11.474,2.04147163139545,7.39913177,465.57043457,2811666,18032010563.7558,2021,1060491.46255507,712218.436781609,607401,68146.3103448276,8353.75151515151,6525.23098591549,37.3110572687225,25.0577011494253,21.3701829268293,2.39793103448276,2295.7323943662,3216.08732394366,0.11312676056338
"5","alb","Upper middle income",8575.17113446213,10.108,4.75976421930106,7.50389433,465.57043457,2745972,23547179830.4413,2023,3068972,1347003.375,1276316,394466.625,10435,208.837944664032,107.975,47.3925,44.905,13.87875,73.4150197628458,23.3754940711462,0.000707509881422925
"6","alb","Upper middle income",6846.42614266044,10.137,6.7252027153006,6.19368076,414.35025024,2777689,19017242585.7803,2022,2767679.95744681,1283090.80851064,1205152.27659574,274113.354166667,5617.42857142857,1972.01095890411,97.3742553191489,45.1414893617021,42.4008510638298,9.64520833333333,693.816438356164,552.964383561644,0.0194630136986301
"7","dza","Upper middle income",4961.55257664733,12.346,9.26551551551553,3.6230433,179.69688416,45477389,225638456572.143,2022,14152939.75,7584339,6204359,480888.125,10435,10372.7004048583,31.5175,16.8914285714286,13.8157142857143,1.0675,231.072874493927,2876.54251012146,0.00641295546558704
"8","dza","Upper middle income",4160.55926736925,13.63,7.22606307415477,5.0110569,208.52682495,44761099,186231205262.082,2021,9258686.9,5322526.65,4669339.1875,19629.3333333333,56928.6666666667,37823.9672619048,20.6205,11.853,10.3975,0.0466666666666667,842.270833333333,21234.9583333333,0.0473095238095238
"9","and","High income",42414.0590092117,5.602,3.78989858162972,7.53678846,3192.31567383,79705,3380612573.32922,2022,150906.363636364,57848.5909090909,53387.1818181818,41057.0555555556,10435,102.194520547945,189.004545454545,72.4527272727273,66.8654545454545,51.4216666666667,1279.93698630137,2.03835616438356,0.00252054794520547
"10","and","High income",46812.4484486309,5.602,3.78989858162972,7.92821121,3568.8379287675,80856,3785067331.7625,2023,156992.333333333,57909,53497,43064.1666666667,10435,2.49438202247191,196.625,72.5266666666667,67.005,53.935,31.2397003745318,0,0
"11","and","High income",42425.6996756291,5.602,3.78989858162972,8.33450699,3535.98974609,78364,3324647529.381,2021,44010.1666666667,29327.0322580645,23858.84,8649.5,2401,349.111764705882,55.1202777777778,36.7306451612903,29.882,10.83,4372.43529411765,166.920588235294,0.209135294117647
"12","ago","Lower middle income",1925.87466082167,15.799,17.5244052090562,3.09277129,67.04656982,34532429,66505129987.7235,2021,3605108.56,2357772.95833333,1359178.35,555673.615384615,10435,37651.4196721311,10.1296,6.62458333333333,3.819,16.0124783861671,1057.95081967213,24951.9672131148,0.0700819672131148
"13","ago","Lower middle income",2308.15976731274,14.537,13.6441017767715,4.2881484,79.713478085,36749906,84824654481.7249,2023,25622178.1428571,15784290.4285714,8886091.61904762,2147035.28571429,10435,10887.2712328767,71.9961904761905,44.3514285714286,24.9695238095238,6.03333333333333,305.871232876712,4095.78630136986,0.0115808219178082
"14","ago","Lower middle income",2929.69445467272,14.602,17.5244052090562,2.92737579,101.25614166,35635029,104399746853.401,2022,19134789.972973,12199906.0833333,6522353.25,806280,10435,33855.7671232877,53.7659459459459,34.2808333333333,18.3283333333333,2.26666666666667,951.265753424658,20399.9671232877,0.0573342465753425
"15","atg","High income",17340.3790692554,9.21476024498569,2.06299638545334,4.99196768,843.4654541,92349,1601366666.66667,2021,71340.0731707317,41235.975308642,34973,555673.615384615,900.777777777778,389.062893081761,76.0784146341463,43.9749382716049,37.2955714285714,16.0124783861671,4148.96855345912,204.333333333333,0.21788679245283
"16","atg","High income",20117.7653310355,9.21476024498569,7.53107834634288,5.7299943,1084.88330078,92840,1867733333.33333,2022,125607.846153846,63580.3076923077,61028.6666666667,9838,305,57.5675675675676,133.950769230769,67.8023076923077,65.0816666666667,10.49,613.857142857143,7.64478764478764,0.00805405405405405
"17","arg","Upper middle income",14187.4827252965,6.139,4.33075199512236,6.868320705,478.728759765,45538401,32389335868.1661,2023,115755238.041096,41499249.8356164,34881879.1315069,36543840.8493151,10358.2876712329,10858.202739726,254.349589041096,91.1864657534247,76.6468219178082,80.2975342465753,238.58904109589,265.178082191781,0.000386301369863014
"18","arg","Upper middle income",8535.59938004389,11.461,4.33075199512236,10.45030594,891.99621582,45191965,385740508436.965,2020,34831.6666666667,34825.3333333333,5.33333333333333,1,11454,15778,0.08,0.08,0,0,347,15774.5,0.0345
"19","arg","Upper middle income",10738.0179223384,8.736,4.33075199512236,10.03832245,1080.88208008,45312281,486564085480.036,2021,29470173.2876712,18176335.9671233,9982029.70136986,438515.8,214417.189041096,211818.57260274,64.7550136986301,39.9388219178082,21.9337808219178,0.963150684931507,4654.29863013699,105917.391780822,0.232747945205479
"20","arg","Upper middle income",13935.6811110049,6.805,4.33075199512236,9.86305332,1370.88464355,45407904,32389335868.1661,2022,103016265.005479,41058742.5890411,34260798.3232877,25002540.3150685,94880.5506849315,97043.6547945206,226.35797260274,90.2184931506849,75.2814520547945,54.938,2132.35890410959,7533.40273972603,0.0165095890410959
"21","arm","Upper middle income",4685.17997128509,15.469,7.18483629443371,12.32268524,595.83544922,2962300,13878908628.9378,2021,488982.333333333,325092.125,218357.076923077,628,10435,5947.61090909091,17.5860606060606,11.691875,7.85192307692308,0.02,2139.05818181818,3407,0.122483636363636
"22","arm","Upper middle income",6571.97445545099,13.379,8.64091108973855,9.96212864,674.78619385,2969200,19513506553.1251,2022,1969614.46666667,1037110.3,886229,21325.3076923077,10435,1416.87671232877,70.8373333333333,37.3,31.872,0.766923076923077,509.572602739726,503.2,0.0179342465753425
"23","arm","Upper middle income",8053.01066312345,13.245,1.98041877615554,7.50389433,465.57043457,2990900,24085749592.3359,2023,2173963,1128168.2,1000615.83333333,50832.5,10435,344.14598540146,78.1883333333333,40.574,35.9883333333333,1.82666666666667,123.78102189781,101.343065693431,0.00361678832116788
"24","abw","High income",30559.5335346581,9.21476024498569,3.49505757399448,7.48661852,1270.97814941,107310,3279343543.60416,2022,171097.758064516,88736.3870967742,82361.3709677419,555673.615384615,41.9789473684211,28.9068493150685,160.717096774194,83.3527822580645,77.364314516129,16.0124783861671,271.509589041096,15.0465753424658,0.0141972602739726
"25","abw","High income",33984.7906198041,9.21476024498569,3.49505757399448,7.48661852,1270.97814941,107359,3648573136.15155,2023,174608.63125,90382.4081632653,84222.2040816326,555673.615384615,5.42708333333333,2.04383561643836,164.0148125,84.8989795918367,79.1119047619048,16.0124783861671,19.1616438356164,0.947945205479452,0.000947945205479452
